timestamp,operation,key,latency_ms,status_code,version,stale_read,time_since_last_write_ms
2026-04-05T22:24:42.709839-07:00,read,key-9,7.69,200,32,false,0.00
2026-04-05T22:24:42.709773-07:00,read,key-9,9.50,200,33,false,0.00
2026-04-05T22:24:42.7098-07:00,read,key-5,11.96,200,37,false,0.00
2026-04-05T22:24:42.709793-07:00,write,key-8,817.27,201,43,false,0.00
2026-04-05T22:24:42.709831-07:00,write,key-9,817.30,201,33,false,0.00
2026-04-05T22:24:42.709766-07:00,write,key-7,817.32,201,37,false,0.00
2026-04-05T22:24:42.709768-07:00,write,key-8,817.38,201,44,false,0.00
2026-04-05T22:24:42.7218-07:00,write,key-7,805.61,201,38,false,0.00
2026-04-05T22:24:42.70983-07:00,write,key-8,817.42,201,41,false,0.00
2026-04-05T22:24:42.719301-07:00,write,key-4,808.15,201,35,false,0.00
2026-04-05T22:24:42.709767-07:00,write,key-6,817.49,201,34,false,0.00
2026-04-05T22:24:42.717582-07:00,write,key-8,809.70,201,42,false,0.00
2026-04-05T22:24:42.709768-07:00,write,key-8,817.26,201,40,false,0.00
2026-04-05T22:24:43.527437-07:00,read,key-0,0.91,200,37,false,0.00
2026-04-05T22:24:43.527414-07:00,read,key-2,1.92,200,34,false,0.00
2026-04-05T22:24:43.527464-07:00,read,key-7,1.90,200,38,false,1.96
2026-04-05T22:24:43.529371-07:00,read,key-3,1.32,200,36,false,0.00
2026-04-05T22:24:43.528357-07:00,read,key-9,2.40,200,33,false,3.42
2026-04-05T22:24:43.530761-07:00,read,key-4,0.58,200,35,false,3.89
2026-04-05T22:24:43.527521-07:00,write,key-9,808.48,201,34,false,0.00
2026-04-05T22:24:43.527406-07:00,write,key-0,808.63,201,38,false,0.00
2026-04-05T22:24:43.527501-07:00,write,key-8,808.54,201,45,false,0.00
2026-04-05T22:24:43.530701-07:00,write,key-2,805.54,201,35,false,0.00
2026-04-05T22:24:43.527515-07:00,write,key-4,808.76,201,36,false,0.00
2026-04-05T22:24:43.527348-07:00,write,key-1,808.94,201,37,false,0.00
2026-04-05T22:24:43.527345-07:00,write,key-7,808.95,201,40,false,0.00
2026-04-05T22:24:43.529346-07:00,write,key-7,806.93,201,39,false,0.00
2026-04-05T22:24:43.527319-07:00,write,key-0,809.04,201,39,false,0.00
2026-04-05T22:24:43.531355-07:00,write,key-7,805.32,201,41,false,0.00
2026-04-05T22:24:44.336047-07:00,read,key-0,0.81,200,39,false,0.50
2026-04-05T22:24:44.336316-07:00,read,key-4,1.47,200,36,false,1.50
2026-04-05T22:24:44.336869-07:00,read,key-2,1.15,200,35,false,1.78
2026-04-05T22:24:44.336302-07:00,read,key-5,1.73,200,37,false,0.00
2026-04-05T22:24:44.336682-07:00,read,key-1,1.41,200,37,false,1.78
2026-04-05T22:24:44.336076-07:00,read,key-5,2.85,200,37,false,0.00
2026-04-05T22:24:44.336373-07:00,read,key-2,2.55,200,35,false,2.69
2026-04-05T22:24:44.338042-07:00,read,key-1,0.94,200,37,false,2.68
2026-04-05T22:24:44.337809-07:00,read,key-1,1.17,200,37,false,2.68
2026-04-05T22:24:44.336328-07:00,read,key-6,2.66,200,34,false,811.51
2026-04-05T22:24:44.338945-07:00,read,key-3,0.78,200,36,false,0.00
2026-04-05T22:24:44.339745-07:00,read,key-1,0.79,200,37,false,4.24
2026-04-05T22:24:44.33899-07:00,read,key-2,1.65,200,35,false,4.39
2026-04-05T22:24:44.338999-07:00,read,key-8,1.94,200,45,false,4.88
2026-04-05T22:24:44.339008-07:00,read,key-7,2.14,200,41,false,4.47
2026-04-05T22:24:44.340655-07:00,read,key-6,0.49,200,34,false,813.66
